gap_hours,iuu_caught,spherical_distances,eez_check,exact _name new from diff Oceans,gap_x_distance,score,gear type
14.48333333,0,44.4313679,1,Barentsz Sea,643.5143116,94,fishing
165.8,0,83.65423188,1,Bering Sea,13869.87165,94,pots_and_traps
16.83333333,0,59.1554342,1,Bering Sea,995.7831422,98,pots_and_traps
390.2333333,0,270.195619,1,Bering Sea,105439.337,94,pots_and_traps
45.26666667,0,357.0591659,1,Gulf of Alaska,16162.87824,91,fishing
13.76666667,0,34.33854816,0,South Atlantic Ocean,472.7273465,94,fishing
48.5,0,17.88129924,0,South Atlantic Ocean,867.2430131,94,fishing
19.46666667,0,5.25235266,1,Labrador Sea,102.2457985,94,set_longlines
14.23333333,0,8.363502621,1,Davis Strait,119.0405206,91,set_longlines
12.51666667,0,42.82412646,1,North Atlantic Ocean,536.0153163,91,fixed_gear
12.33333333,0,1.852360736,1,North Atlantic Ocean,22.8457824,98,pots_and_traps
245.95,0,420.0478551,1,South Atlantic Ocean,103310.77,94,purse_seines
220.2,0,680.2837047,1,Bering Sea,149798.4718,91,set_longlines
663.0833333,0,221.9837334,1,Bering Sea,147193.7139,94,set_longlines
539.8,0,20.57565115,1,Bering Sea,11106.73649,94,set_longlines
15.26666667,0,7.474050314,1,Gulf of Alaska,114.1038348,94,fishing
55.08333333,0,6.878226636,1,Bering Sea,378.8756505,98,pots_and_traps
72.86666667,0,298.0569669,1,Gulf of Alaska,21718.41766,94,set_longlines
48.71666667,0,26.45234249,1,Gulf of Alaska,1288.669952,94,set_longlines
19.13333333,0,26.03589044,1,Bering Sea,498.1533703,98,pots_and_traps
18.43333333,0,3.825606562,1,Bering Sea,70.51868095,98,pots_and_traps
17.73333333,0,116.1712495,0,North Pacific Ocean,2060.103491,94,fishing
13.06666667,0,167.1524835,1,Bering Sea,2184.125785,91,set_longlines
209.8,0,225.1182061,1,Bering Sea,47229.79964,98,pots_and_traps
535.1,0,198.6910965,1,Bering Sea,106319.6057,98,set_longlines
72.13333333,0,123.2576614,1,North Atlantic Ocean,8890.985975,98,fishing
183.4333333,0,27.00138759,1,North Atlantic Ocean,4952.954529,98,fishing
76.73333333,0,110.4066132,1,North Atlantic Ocean,8471.867453,98,fishing
13.91666667,0,44.15411345,1,Gulf of Alaska,614.478079,98,set_longlines
23.2,0,3.793585766,1,North Pacific Ocean,88.01118977,98,trollers
36.38333333,0,72.49177089,1,North Pacific Ocean,2637.492264,98,trollers
76.85,0,42.94793897,1,Bering Sea,3300.54911,94,pots_and_traps
16.91666667,0,20.92571503,1,Bering Sea,353.993346,94,set_longlines
84.96666667,0,33.87388707,1,South Pacific Ocean,2878.151271,94,purse_seines
60.3,0,417.8901821,1,South Pacific Ocean,25198.77798,94,purse_seines
15.56666667,0,124.4370915,1,South Pacific Ocean,1937.070725,94,purse_seines
256.9833333,0,834.6627813,1,Bering Sea,214494.4237,91,set_longlines
109.2666667,0,22.44191739,1,Bering Sea,2452.153508,94,pots_and_traps
17.33333333,0,9.281642487,1,Bering Sea,160.8818031,94,fixed_gear
49.91666667,0,70.53338585,1,Bering Sea,3520.791511,94,fixed_gear
57.55,0,36.25074824,1,Bering Sea,2086.230561,98,set_longlines
47.61666667,0,609.6550464,1,Bering Sea,29029.74113,94,fixed_gear
15.48333333,0,37.60244688,1,North Atlantic Ocean,582.2112191,98,dredge_fishing
22.45,0,10.65293549,1,North Atlantic Ocean,239.1584018,98,dredge_fishing
66.96666667,0,44.08803303,1,North Atlantic Ocean,2952.428612,98,dredge_fishing
49.95,0,55.41020787,1,North Atlantic Ocean,2767.739883,98,dredge_fishing
19.93333333,0,0.717082546,1,North Pacific Ocean,14.29384541,98,fishing
86.95,0,40.41883732,1,Bering Sea,3514.417905,98,set_longlines
40.21666667,0,396.645247,1,Bering Sea,15951.74968,91,set_longlines
25.28333333,0,240.3311292,1,Bering Sea,6076.372049,91,set_longlines
83.66666667,0,299.2180978,1,Bering Sea,25034.58085,91,set_longlines
768.9333333,0,168.5123371,1,Bering Sea,129574.7531,91,set_longlines
46.66666667,0,648.2120138,1,Bering Sea,30249.89398,88,set_longlines
50.26666667,0,23.9814589,1,Bering Sea,1205.468001,88,set_longlines
16.25,0,26.53141799,0,South Atlantic Ocean,431.1355423,89,fishing
653.6833333,0,10533.022,0,South Atlantic Ocean,6885260.931,89,fishing
298.1333333,0,79.33067464,0,South Atlantic Ocean,23651.11846,89,fishing
17.16666667,0,11.47153487,0,South Atlantic Ocean,196.9280153,89,fishing
37.86666667,0,211.2390212,0,South Atlantic Ocean,7998.917603,91,drifting_longlines
15.2,0,9.365306548,0,South Atlantic Ocean,142.3526595,91,fishing
19.96666667,0,9.616205245,0,South Atlantic Ocean,192.0035648,91,fishing
12.08333333,0,51.69449461,1,Arafura Sea,624.6418097,94,set_longlines
12.11666667,0,3.096997928,0,North Pacific Ocean,37.52529157,91,pole_and_line
17.05,0,2.648210851,0,South Atlantic Ocean,45.15199501,98,pole_and_line
12.61666667,0,26.23348727,0,North Pacific Ocean,330.9791645,91,fishing
13.55,0,5.31490705,0,Arabian Sea,72.01699053,86,fishing
80.83333333,0,2891.65219,1,North Pacific Ocean,233741.8853,0,other
191.4833333,0,358.3434792,0,North Pacific Ocean,68616.80386,91,pole_and_line
16.55,0,60.61494726,0,North Pacific Ocean,1003.177377,89,fishing
357.35,0,731.4313126,1,North Pacific Ocean,261376.9796,94,fishing
14.03333333,0,40.13098719,0,North Pacific Ocean,563.1715201,94,fishing
14.7,0,305.3511879,1,North Pacific Ocean,4488.662462,94,fishing
70.53333333,0,717.8278908,0,North Pacific Ocean,50630.7939,89,pole_and_line
21.88333333,0,232.1509683,1,North Pacific Ocean,5080.237022,94,pole_and_line
24.95,0,371.2912333,1,North Pacific Ocean,9263.716271,86,pole_and_line
12.06666667,0,5.751800779,0,North Pacific Ocean,69.40506275,94,pole_and_line
12.28333333,0,11.32468393,0,North Pacific Ocean,139.1048676,98,fishing
151.35,0,28.14848131,1,Indian Ocean,4260.272646,98,fishing
224.4666667,0,553.3539057,0,North Pacific Ocean,124209.5067,89,fishing
141.0333333,0,106.3253642,1,Southern Ocean,14995.42053,98,set_longlines
22.08333333,0,78.59239377,0,South Atlantic Ocean,1735.582029,94,set_longlines
750.3,0,3669.320274,0,South Pacific Ocean,2753091.002,94,set_longlines
16.01666667,0,100.9887106,0,South Atlantic Ocean,1617.502515,98,set_longlines
12.15,0,15.0747697,1,Indian Ocean,183.1584519,91,fishing
13.56666667,0,14.91342351,1,Indian Ocean,202.3254457,88,pole_and_line
117.3666667,0,56.05726685,1,Indian Ocean,6579.254554,88,pole_and_line
42.53333333,0,96.29930886,1,Indian Ocean,4095.930603,88,pole_and_line
13.5,0,76.74723529,1,Indian Ocean,1036.087676,88,pole_and_line
55.95,0,15.40151329,1,Indian Ocean,861.7146686,88,pole_and_line
22.75,0,24.91909307,1,Indian Ocean,566.9093673,91,pots_and_traps
2821.316667,0,1110.294861,0,Indian Ocean,3132493.397,94,set_longlines
14.11666667,0,13.49203169,1,Indian Ocean,190.4625141,91,pots_and_traps
81.73333333,0,34.692287,1,Indian Ocean,2835.516257,91,pots_and_traps
67.23333333,0,8.614223638,1,Southern Ocean,579.1629692,98,set_longlines
117.7333333,0,147.2832492,1,South Pacific Ocean,17340.14787,94,fishing
17.55,0,28.45683463,1,Tasman Sea,499.4174478,91,fishing
21.8,0,8.91547981,1,South Atlantic Ocean,194.3574599,91,pole_and_line
25.03333333,0,18.88240132,1,South Atlantic Ocean,472.6894463,98,pole_and_line
17.35,0,13.66286804,1,South Atlantic Ocean,237.0507605,89,pole_and_line
12.13333333,0,200.7453897,1,Indian Ocean,2435.710728,88,fishing
33.91666667,0,14.95941262,1,South Atlantic Ocean,507.3734114,88,fishing
85.18333333,0,87.04328613,1,Indian Ocean,7414.637257,98,fishing
155.15,0,260.2576337,1,Indian Ocean,40378.97187,98,fishing
18.08333333,0,5.209510699,1,South Atlantic Ocean,94.20531846,91,drifting_longlines
12.83333333,0,8.864620711,1,South Atlantic Ocean,113.7626324,94,fishing
22.55,0,3.501640862,1,South Atlantic Ocean,78.96200144,91,fishing
28.28333333,0,20.44915207,1,South Atlantic Ocean,578.3701843,89,pole_and_line
17.11666667,0,112.8708252,1,South Atlantic Ocean,1931.972292,91,set_longlines
22.1,0,406.6055119,0,South Atlantic Ocean,8985.981813,94,fishing
16.71666667,0,316.8825811,0,South Atlantic Ocean,5297.220482,94,pole_and_line
83.15,0,308.1776843,1,Indian Ocean,25624.97445,98,set_longlines
49.6,0,39.7531978,1,Indian Ocean,1971.758611,98,set_longlines
526.6833333,0,8.06936241,1,Indian Ocean,4249.998692,94,set_longlines
22.58333333,0,18.00608206,1,Indian Ocean,406.6373531,98,fishing
17.5,0,26.72054675,0,Indian Ocean,467.6095681,91,fishing
241.4666667,0,852.2662577,1,Indian Ocean,205793.8924,94,fishing
187.8333333,0,750.5472013,0,Southern Ocean,140977.7826,98,set_longlines
563.2833333,0,2547.88978,0,South Pacific Ocean,1435183.848,98,set_longlines
43.38333333,0,14.49284301,0,South Atlantic Ocean,628.7478392,98,set_longlines
12.4,0,60.44390507,1,South Atlantic Ocean,749.5044229,98,set_longlines
71.9,0,24.63701711,1,South Atlantic Ocean,1771.40153,98,fishing
37.28333333,0,168.8141168,1,South Atlantic Ocean,6293.952987,98,fishing
58.28333333,0,790.9658762,0,South Pacific Ocean,46100.12782,98,set_longlines
243.4166667,0,736.9198967,1,Bismarck Sea,179378.5849,86,fishing
12.13333333,0,1.387839206,0,North Pacific Ocean,16.83911569,91,fishing
12.43333333,0,10.8381922,0,South Atlantic Ocean,134.7548563,86,fishing
22.13333333,0,29.11157262,1,North Atlantic Ocean,644.3361406,98,set_longlines
13.28333333,0,22.81281777,1,North Atlantic Ocean,303.0302626,98,pole_and_line
22.28333333,0,38.68292,1,North Atlantic Ocean,861.9844005,88,pole_and_line
13.21666667,0,149.9725669,1,North Atlantic Ocean,1982.137426,88,pole_and_line
13.6,0,60.32473071,1,North Atlantic Ocean,820.4163377,94,pole_and_line
52.15,0,112.2188078,1,North Atlantic Ocean,5852.210827,91,pole_and_line
12.03333333,0,13.49032834,1,North Atlantic Ocean,162.3336176,91,fixed_gear
12.3,0,25.4116903,1,North Atlantic Ocean,312.5637907,91,fixed_gear
104.7833333,0,30.27455118,1,North Atlantic Ocean,3172.268387,94,set_longlines
703.6,0,1199.864166,1,North Atlantic Ocean,844224.4272,94,set_longlines
23.9,0,40.37675893,1,Celtic Sea,965.0045384,91,set_longlines
14.4,0,9.013963361,1,North Atlantic Ocean,129.8010724,98,set_longlines
13.9,0,80.4420419,1,North Atlantic Ocean,1118.144382,91,fishing
17.01666667,0,44.79658007,1,North Atlantic Ocean,762.288471,91,fishing
36.28333333,0,233.237325,1,North Atlantic Ocean,8462.627608,98,pole_and_line
58.7,0,870.1540696,0,North Atlantic Ocean,51078.04389,91,fishing
42.46666667,0,142.6296279,1,North Atlantic Ocean,6057.004865,91,fishing
97.73333333,0,30.71741832,1,North Atlantic Ocean,3002.115684,89,fishing
247.3,0,62.97408087,1,North Atlantic Ocean,15573.4902,89,fishing
15.01666667,0,232.0113127,1,Celtic Sea,3484.036546,94,set_longlines
