mmsi,score,flag,gear type,vessel type
316015074,98.627975,CAN,trollers,Fishing
338185000,98.627975,USA,set_longlines,Fishing
338564000,91.84959,USA,pots_and_traps,Fishing
366338750,84.75116,USA,pots_and_traps,Fishing
366752970,91.84959,USA,pots_and_traps,Fishing
366830940,98.627975,USA,fixed_gear,Fishing
366864820,98.627975,USA,fishing,Fishing
367050980,94.54137,USA,pots_and_traps,Fishing
367094420,98.627975,USA,pots_and_traps,Fishing
367095130,94.54137,USA,pots_and_traps,Fishing
367183130,91.84959,USA,set_longlines,Fishing
367324020,94.54137,USA,fishing,Fishing
367330420,94.54137,USA,set_longlines,Fishing
367339250,94.54137,USA,pots_and_traps,Fishing
367364340,89.839066,USA,fishing,Fishing
367374000,98.627975,USA,pots_and_traps,Fishing
367385840,91.84959,USA,fishing,Fishing
367408210,91.84959,USA,set_longlines,Fishing
367411730,98.627975,USA,set_longlines,Fishing
367512180,94.54137,USA,fishing,Fishing
367512490,89.839066,USA,fishing,Fishing
367588710,94.54137,USA,set_longlines,Fishing
367721000,98.627975,USA,fishing,Fishing
412329436,89.839066,CHN,fishing,Fishing
412331016,91.84959,CHN,fishing,Fishing
412331071,94.54137,CHN,drifting_longlines,Fishing
412440435,91.84959,CHN,fishing,Fishing
412440485,91.84959,CHN,fishing,Fishing
412697150,98.627975,CHN,fishing,Fishing
416002402,89.839066,TWN,trawlers,Fishing
416038700,94.54137,TWN,fishing,Fishing
431200130,88.2337,JPN,pole_and_line,Fishing
431200250,91.84959,JPN,pole_and_line,Fishing
431200990,94.54137,JPN,pole_and_line,Fishing
431346000,88.2337,JPN,pole_and_line,Fishing
431602570,91.84959,JPN,pole_and_line,Fishing
431680000,86.89728,JPN,pole_and_line,Fishing
431801000,94.54137,JPN,pole_and_line,Fishing
440025000,94.54137,KOR,fishing,Fishing
440282000,98.627975,KOR,set_longlines,Fishing
441864000,98.627975,KOR,set_longlines,Fishing
441868000,98.627975,KOR,set_longlines,Fishing
503039870,91.84959,AUS,set_longlines,Fishing
503552000,91.84959,AUS,set_longlines,Fishing
503770000,98.627975,AUS,set_longlines,Fishing
512000121,84.75116,NZL,fishing,Fishing
512008000,94.54137,NZL,set_longlines,Fishing
518373000,98.627975,COK,fishing,Fishing
601025100,94.54137,ZAF,pole_and_line,Fishing
601062400,91.84959,ZAF,fishing,Fishing
601113400,89.839066,ZAF,fishing,Fishing
601233000,91.84959,ZAF,fishing,Fishing
601613000,91.84959,ZAF,pole_and_line,Fishing
