vessel_class,gap_hours,iuu_caught,spherical_distances,eez_check,Ocean List New whose false were in OG
other,12.05,0,179.5602349,1,atlantic
other,28.56666667,0,421.7399454,1,atlantic
other,13,0,16.21593403,1,atlantic
other,12.16666667,0,15.1041622,1,atlantic
other,18.38333333,0,234.9285069,1,atlantic
other,12.05,0,217.539834,1,atlantic
other,13.26666667,0,198.8518964,1,atlantic
other,15.21666667,0,124.8317502,1,atlantic
other,45.01666667,0,36.94680903,1,atlantic
other,16.35,0,8.143210869,1,atlantic
other,14.18333333,0,16.43435633,1,atlantic
other,14.3,0,5.472138537,1,atlantic
other,17.56666667,0,284.4346484,1,atlantic
other,17.83333333,0,341.5731063,1,atlantic
other,13.36666667,0,11.73567422,1,arctic
other,13.06666667,0,12.66408419,0,arctic
other,14.31666667,0,25.6391631,1,arctic
other,29.66666667,0,63.43941858,1,arctic
other,42.56666667,0,104.582155,1,arctic
other,17.56666667,0,49.75784498,1,arctic
other,14.88333333,0,354.0565102,1,arctic
other,54.05,0,374.999481,1,arctic
other,36.65,0,617.1823066,1,atlantic
other,16.73333333,0,32.92473065,1,arctic
other,13.45,0,21.92257344,1,arctic
other,149.45,0,2207.383604,1,atlantic
other,12.86666667,0,245.3588799,1,arctic
other,18.65,0,1.822202822,0,atlantic
other,23.3,0,42.27134146,0,atlantic
other,15.96666667,0,22.60670309,1,pacific
other,16.61666667,0,230.0807486,1,pacific
other,14.3,0,5.618708214,1,pacific
other,162.0833333,0,1156.154028,0,pacific
other,318.3,0,19.95022565,1,pacific
other,14.03333333,0,19.94844086,1,pacific
other,31.28333333,0,8.317518509,0,pacific
other,18.65,0,5.869477008,1,arctic
other,55.13333333,0,4.061909614,1,pacific
other,13.75,0,257.5101815,1,pacific
other,14.71666667,0,258.6833013,1,pacific
other,168.7333333,0,17.92759566,1,pacific
other,142.4666667,0,189.7882288,1,pacific
other,37.96666667,0,4.015864627,0,atlantic
other,164.35,0,73.01527589,0,atlantic
other,39.93333333,0,335.5072976,0,pacific
other,46.65,0,555.9590292,1,pacific
other,32.43333333,0,21.90072143,1,pacific
other,588.2666667,0,175.3439704,1,atlantic
other,64.35,0,60.5642261,1,atlantic
other,202.0333333,0,139.4209157,1,pacific
other,4731.05,0,913.6804412,1,pacific
other,130.1,0,66.92468089,1,pacific
other,14.51666667,0,36.1012497,1,pacific
other,434.7166667,0,532.869115,1,pacific
other,39.65,0,56.21022209,1,pacific
other,19.78333333,0,13.19278804,1,pacific
other,13.31666667,0,5.250643901,1,atlantic
other,164.1166667,0,115.9850676,1,pacific
other,161.7,0,140.4697013,1,pacific
other,386.8,0,70.74799899,1,pacific
other,99.95,0,180.8388075,1,pacific
other,62.05,0,34.11565769,1,pacific
other,24,0,32.86927604,1,pacific
other,13.03333333,0,220.9021147,1,pacific
other,43.1,0,21.73806987,1,pacific
other,222.5333333,0,679.9277082,1,pacific
other,559.05,0,203.7974408,1,pacific
