,oceans_list
905,Atlantic
906,Atlantic
907,Atlantic
908,Atlantic
909,Atlantic
910,Atlantic
911,Atlantic
912,Atlantic
913,Atlantic
914,Atlantic
915,Atlantic
916,Atlantic
917,Atlantic
918,Atlantic
919,Atlantic
920,Atlantic
921,Atlantic
922,Atlantic
923,Atlantic
924,Atlantic
925,Atlantic
926,Atlantic
927,Atlantic
928,Atlantic
929,Atlantic
930,Atlantic
931,Atlantic
932,Atlantic
933,Pacific
934,Pacific
935,Pacific
936,Pacific
937,Pacific
938,Pacific
939,Pacific
940,Pacific
941,Pacific
942,Pacific
943,Pacific
944,Pacific
945,Atlantic
946,Atlantic
947,Indian
948,Pacific
949,Pacific
950,Atlantic
951,Pacific
952,Pacific
953,Pacific
954,Pacific
955,Atlantic
956,Atlantic
957,Atlantic
958,Pacific
959,False
960,Pacific
961,Pacific
962,Atlantic
963,Pacific
964,Atlantic
965,Pacific
966,Pacific
967,False
968,Pacific
969,Pacific
970,Pacific
971,Pacific
972,Pacific
973,Pacific
974,Pacific
975,Pacific
976,Atlantic
977,Atlantic
978,Atlantic
979,Pacific
980,Pacific
981,Pacific
982,Pacific
983,Pacific
984,Pacific
985,Pacific
986,Pacific
987,Pacific
988,Pacific
989,False
990,Pacific
991,Atlantic
992,Pacific
993,Pacific
994,Pacific
995,Pacific
996,Atlantic
997,Atlantic
998,Pacific
999,Indian
1000,Pacific
1001,Pacific
1002,Pacific
1003,Pacific
1004,Pacific
1005,Pacific
1006,Pacific
1007,Pacific
1008,Pacific
1009,Atlantic
1010,Atlantic
1011,Pacific
1012,False
1013,False
1014,Indian
1015,Indian
1016,Indian
1017,Indian
1018,Indian
1019,Indian
1020,Indian
1021,Indian
1022,Indian
1023,Pacific
1024,False
1025,False
1026,False
1027,Indian
1028,Indian
1029,Indian
1030,False
1031,Atlantic
1032,Atlantic
1033,Atlantic
1034,Atlantic
1035,Atlantic
1036,Atlantic
1037,Atlantic
1038,Atlantic
1039,Atlantic
1040,Atlantic
1041,Atlantic
1042,Atlantic
1043,Atlantic
1044,Atlantic
1045,Indian
1046,Atlantic
1047,Atlantic
1048,Atlantic
1049,Atlantic
1050,Indian
1051,Indian
1052,Indian
1053,Indian
1054,Indian
1055,Indian
1056,Atlantic
1057,Atlantic
1058,Atlantic
1059,Pacific
1060,Atlantic
1061,Atlantic
1062,Atlantic
1063,Atlantic
1064,Atlantic
1065,Atlantic
1066,Atlantic
1067,Atlantic
1068,Atlantic
1069,Atlantic
1070,Atlantic
1071,Atlantic
1072,Atlantic
1073,Atlantic
1074,Atlantic
1075,Atlantic
1076,Atlantic
1077,Atlantic
1078,Atlantic
1079,Atlantic
1080,Atlantic
1081,Atlantic
1082,Atlantic
1083,Atlantic
1084,Atlantic
1085,Atlantic
1086,Atlantic
1087,Atlantic
1088,Atlantic
1089,Atlantic
1090,Atlantic
1091,Atlantic
1092,Atlantic
1093,Atlantic
1094,Atlantic
1095,Atlantic
1096,Atlantic
1097,Atlantic
1098,Atlantic
1099,Atlantic
1100,Atlantic
1101,Atlantic
1102,Atlantic
1103,Atlantic
1104,Atlantic
1105,Atlantic
1106,Pacific
1107,Pacific
1108,Pacific
1109,Pacific
1110,Pacific
1111,Pacific
1112,Pacific
1113,Pacific
1114,Pacific
1115,Pacific
1116,Pacific
1117,Pacific
1118,Atlantic
1119,Atlantic
1120,Indian
1121,Pacific
1122,Pacific
1123,Atlantic
1124,Atlantic
1125,Atlantic
1126,Atlantic
1127,Pacific
1128,Pacific
1129,Pacific
1130,Pacific
1131,Atlantic
1132,Pacific
1133,Pacific
1134,Pacific
1135,False
1136,Pacific
1137,Atlantic
1138,Atlantic
1139,Pacific
1140,Pacific
1141,Pacific
1142,Pacific
1143,Atlantic
1144,Atlantic
1145,Atlantic
1146,Pacific
1147,Pacific
1148,Pacific
1149,Pacific
1150,False
1151,Pacific
1152,Pacific
1153,Pacific
1154,Pacific
1155,Pacific
1156,Pacific
1157,Pacific
1158,Pacific
1159,False
1160,False
1161,False
1162,Pacific
1163,Atlantic
1164,Indian
1165,Atlantic
1166,Atlantic
1167,Atlantic
1168,Pacific
1169,Atlantic
1170,Indian
1171,Pacific
1172,Pacific
1173,Indian
1174,Pacific
1175,Pacific
