,ocean
1074,pacific
1075,false
1076,atlantic
1077,indian
1078,indian
1079,atlantic
1080,atlantic
1081,atlantic
1082,false
1083,atlantic
1084,false
1085,pacific
1086,pacific
1087,atlantic
1088,indian
1089,indian
1090,indian
1091,indian
1092,indian
1093,pacific
1094,indian
1095,pacific
1096,indian
1097,false
1098,pacific
1099,indian
1100,false
1101,false
1102,indian
1103,indian
1104,pacific
1105,pacific
1106,indian
1107,false
1108,indian
1109,indian
1110,pacific
1111,pacific
1112,indian
1113,pacific
1114,false
1115,atlantic
1116,pacific
1117,indian
1118,atlantic
1119,pacific
1120,pacific
1121,pacific
1122,false
1123,indian
1124,atlantic
1125,false
1126,false
1127,false
1128,atlantic
1129,false
1130,atlantic
1131,pacific
1132,indian
1133,pacific
1134,indian
1135,pacific
1136,pacific
1137,indian
1138,indian
1139,indian
1140,indian
1141,indian
1142,false
1143,false
1144,pacific
1145,pacific
1146,indian
1147,false
1148,false
1149,pacific
1150,atlantic
1151,indian
1152,indian
1153,false
1154,false
1155,indian
1156,atlantic
1157,false
1158,atlantic
1159,indian
1160,indian
1161,indian
1162,indian
1163,atlantic
1164,indian
1165,pacific
1166,indian
1167,pacific
1168,indian
1169,pacific
1170,indian
1171,false
1172,pacific
1173,pacific
1174,pacific
1175,pacific
1176,indian
1177,false
1178,atlantic
1179,false
1180,false
1181,indian
1182,pacific
1183,pacific
1184,indian
1185,indian
1186,false
1187,atlantic
1188,false
1189,indian
1190,false
1191,indian
1192,indian
1193,indian
1194,false
1195,false
1196,indian
1197,atlantic
1198,false
1199,indian
1200,indian
1201,false
1202,pacific
1203,false
1204,false
1205,pacific
1206,indian
1207,false
1208,pacific
1209,false
1210,pacific
1211,false
1212,atlantic
1213,false
1214,false
1215,atlantic
1216,pacific
1217,false
1218,atlantic
1219,pacific
1220,pacific
1221,pacific
1222,indian
1223,indian
1224,pacific
1225,false
1226,indian
1227,pacific
1228,pacific
1229,indian
1230,false
1231,indian
1232,false
1233,false
1234,false
1235,pacific
1236,pacific
1237,indian
1238,false
1239,false
1240,pacific
1241,pacific
1242,indian
1243,indian
1244,false
1245,indian
1246,false
1247,false
1248,pacific
1249,indian
1250,false
1251,atlantic
1252,indian
1253,atlantic
1254,false
1255,atlantic
1256,indian
1257,false
1258,pacific
1259,false
1260,indian
1261,indian
1262,atlantic
1263,false
1264,pacific
1265,pacific
1266,indian
1267,false
1268,pacific
1269,atlantic
1270,atlantic
1271,indian
1272,pacific
1273,pacific
1274,pacific
1275,pacific
1276,indian
1277,atlantic
1278,false
1279,pacific
1280,pacific
1281,false
1282,false
1283,atlantic
1284,false
1285,atlantic
1286,pacific
1287,false
1288,false
1289,pacific
1290,pacific
1291,false
1292,pacific
1293,pacific
1294,pacific
1295,pacific
1296,indian
1297,pacific
1298,false
1299,pacific
1300,false
1301,indian
1302,false
1303,false
1304,pacific
1305,false
1306,false
1307,pacific
1308,false
1309,false
1310,pacific
1311,pacific
1312,indian
1313,indian
1314,false
1315,atlantic
1316,pacific
1317,indian
1318,false
1319,false
1320,false
1321,indian
1322,pacific
1323,pacific
1324,false
1325,false
1326,false
1327,false
1328,pacific
1329,pacific
1330,pacific
1331,indian
1332,indian
1333,false
1334,false
1335,atlantic
1336,pacific
1337,false
1338,indian
1339,false
1340,false
1341,indian
1342,false
1343,indian
1344,pacific
1345,indian
1346,atlantic
1347,indian
1348,false
1349,pacific
1350,false
1351,false
1352,false
1353,false
1354,pacific
1355,false
1356,atlantic
1357,false
1358,indian
1359,false
1360,false
1361,atlantic
1362,false
1363,indian
1364,false
1365,false
1366,indian
1367,false
1368,false
1369,false
1370,false
1371,pacific
1372,false
1373,false
1374,false
1375,false
1376,pacific
1377,pacific
1378,atlantic
1379,pacific
1380,false
1381,false
1382,false
1383,false
1384,false
1385,false
1386,indian
1387,atlantic
1388,atlantic
1389,indian
1390,pacific
1391,pacific
1392,indian
1393,false
1394,pacific
1395,indian
1396,pacific
1397,false
1398,false
1399,atlantic
1400,false
1401,indian
1402,false
1403,false
1404,false
1405,false
1406,false
1407,false
1408,false
1409,false
1410,false
1411,false
1412,false
1413,indian
1414,indian
1415,pacific
